Image,Focus,Astig,Phaseshift,CCC,Res_lim
img_0000002_df_RAW1.epa,"1,115.75",16.76,37.75,0.196698,3.98
img_0000002_df_RAW3.epa,227.58,25.47,28.53,0.038246,6.605
img_0000007_df_RAW4.epa,596.39,82.20,143.24,0.072574,4.797
img_0000010_df_RAW3.epa,72.85,151.37,79.97,0.044077,5.986
img_0000013_df_RAW3.epa,266.81,29.88,39.91,0.055936,7.078
img_0000014_df_RAW1.epa,377.15,50.28,38.34,0.064836,3.422
img_0000022_df_RAW2.epa,"1,326.71",36.07,39.80,0.106192,5.249
img_0000024_df_RAW2.epa,"1,191.75",71.65,46.00,0.096319,4.905
img_0000033_df_RAW2.epa,"1,968.01",92.24,42.77,0.072234,5.199
img_0000035_df_RAW2.epa,"2,210.98",108.77,35.64,0.056162,4.714
img_0000038_df_RAW1.epa,722.16,27.16,29.83,0.119939,3.417
img_0000045_df_RAW3.epa,269.44,36.31,36.70,0.023311,7.391
img_0000049_df_RAW3.epa,351.64,11.84,-5.44,0.073977,5.274
img_0000060_df_RAW1.epa,677.66,19.89,25.41,0.066553,3.965
img_0000061_df_RAW3.epa,592.94,99.50,98.68,0.010604,7.96
img_0000069_df_RAW3.epa,"1,223.25",122.72,52.63,0.015298,14.11
img_0000074_df_RAW1.epa,236.99,49.91,19.57,0.045299,4.187
img_0000074_df_RAW3.epa,253.84,17.36,31.85,0.04873,6.791
img_0000080_df_RAW3.epa,359.33,89.82,35.11,0.039766,8.326
img_0000089_df_RAW3.epa,"1,091.10",36.40,163.49,0.119578,4.905
img_0000105_df_RAW3.epa,859.89,67.61,35.79,0.029449,7.625
img_0000108_df_RAW4.epa,"1,069.85",70.41,25.08,0.055337,5.543
img_0000111_df_RAW4.epa,703.10,59.69,42.24,0.030267,6.104
img_0000121_df_RAW3.epa,88.59,148.00,71.37,0.042909,6.41
img_0000146_df_RAW3.epa,633.60,62.99,30.41,0.02606,6.487
img_0000152_df_RAW3.epa,530.71,12.05,162.96,0.062993,5.125
img_0000156_df_RAW1.epa,743.68,9.18,10.03,0.040961,3.944
img_0000162_df_RAW3.epa,655.02,8.09,163.25,0.058485,5.487
img_0000177_df_RAW1.epa,415.61,39.37,-0.69,0.032151,3.689
img_0000200_df_RAW3.epa,966.29,34.70,163.23,0.086099,5.065
img_0000204_df_RAW3.epa,"1,397.70",129.72,41.78,0.04169,5.365
img_0000223_df_RAW4.epa,846.57,83.76,25.29,0.036472,6.003
img_0000230_df_RAW4.epa,254.17,47.72,27.29,0.032002,7.195
img_0000237_df_RAW3.epa,329.93,29.42,25.97,0.050686,7.678
img_0000243_df_RAW3.epa,524.79,57.30,20.14,0.032,5.089
img_0000264_df_RAW4.epa,402.43,33.42,-1.05,0.108818,4.776
img_0000273_df_RAW3.epa,704.81,43.58,32.42,0.030486,6.585
img_0000287_df_RAW3.epa,776.49,60.70,17.33,0.036995,5.274
img_0000309_df_RAW4.epa,667.70,118.46,45.43,0.028656,4.228
img_0000315_df_RAW4.epa,"1,346.79",49.12,21.95,0.086064,5.3
img_0000319_df_RAW3.epa,595.67,103.76,44.07,0.017717,6.335
img_0000328_df_RAW3.epa,69.08,142.57,79.33,0.040381,5.688
img_0000334_df_RAW4.epa,"1,546.78",63.79,12.23,0.045416,5.236
img_0000337_df_RAW3.epa,122.67,234.39,68.44,0.036914,7.366
img_0000345_df_RAW1.epa,"1,666.57",64.70,160.64,0.127987,19.936
img_0000347_df_RAW1.epa,"1,415.53",70.75,14.70,0.076247,6.28
img_0000347_df_RAW4.epa,"1,535.68",66.26,11.96,0.03161,5.199
img_0000349_df_RAW4.epa,"1,700.64",139.64,27.97,0.049352,5.718
img_0000366_df_RAW2.epa,550.49,51.62,62.00,0.037008,5.042
img_0000386_df_RAW1.epa,"1,190.36",51.03,160.71,0.110682,4.604
